"estimate","se","ci_lower","ci_upper","true_beta","scenario"
2.81581997364223,0.256489279861562,2.34296209365102,3.35699715280007,2,18
2.15258216664717,0.263509077325349,1.63853246946452,2.64574498744819,2,18
1.91146164552277,0.264297573278056,1.29985109543942,2.3649246842836,2,18
1.91733457440775,0.241236772659486,1.40082373301563,2.39287756147747,2,18
1.78541099696996,0.275053090858801,1.21559882934753,2.29144025605733,2,18
2.60201644344213,0.336960728941113,2.01656581175599,3.23547506824947,2,18
2.21370885872125,0.198833094275431,1.82963477590287,2.60351651754928,2,18
1.81972292254718,0.27970041685267,1.32978217664696,2.38233843927879,2,18
1.64662669618126,0.245355716695696,1.12539690658692,2.10344913477101,2,18
2.02712958019291,0.199880038733381,1.65515870113042,2.41783294315461,2,18
2.20628265401612,0.289969191038548,1.59129378727875,2.79029338063328,2,18
2.0413015516444,0.309405211966665,1.40430873950898,2.63444436281442,2,18
2.36034820942524,0.299272758903794,1.81155339852509,2.93187722763227,2,18
2.55900292561802,0.281517585028641,1.98490370756107,3.05584250650159,2,18
1.92730463023294,0.422181889533296,1.08583739517723,2.64443063063812,2,18
1.9439598689003,0.305859863317831,1.3960077289174,2.54403540494047,2,18
1.9392531258564,0.368118133160255,1.37567690861043,2.51401965146632,2,18
2.11280123374885,0.223236916687589,1.64804856241482,2.50713680382897,2,18
1.73265990682148,0.196824221493628,1.37695292553298,2.11479036723762,2,18
2.14450501004739,0.213220168086815,1.75228618030678,2.53099072411125,2,18
1.99263789376449,0.367021765663419,1.17789876838707,2.62067242434747,2,18
2.3094245258303,0.270037616869013,1.82023586176545,2.8095120536976,2,18
1.87644478734518,0.443675333046816,1.01635781699479,2.53126653544966,2,18
1.64105255791714,0.303294302336326,1.07595606789514,2.20892218956703,2,18
2.33975323359383,0.265105061886111,1.84800154332929,2.83651620421792,2,18
2.56159864834064,0.294173182339053,1.98313999297776,3.16986751108371,2,18
2.19971058771531,0.245920734184046,1.71322187451899,2.63399446660682,2,18
1.88131812058062,0.258797927996573,1.40569882911905,2.37680937555764,2,18
1.95163282863037,0.283561130928953,1.40558230416808,2.48569062985017,2,18
1.84912602586403,0.321555348039731,1.26135687247627,2.50437096021323,2,18
1.9765927825792,0.287459523801637,1.31484241335112,2.56217539376373,2,18
1.86625744016493,0.294580178233967,1.30120140504372,2.37949842289144,2,18
1.99237443796147,0.197208136466789,1.61769126952386,2.36503723027843,2,18
1.9944450232432,0.267047877106953,1.473220396089,2.4590802855518,2,18
1.901492257525,0.249521178743392,1.39889518505188,2.39539176758456,2,18
1.85100641353803,0.297115062394947,1.33291870625984,2.41169910167902,2,18
1.75889979334116,0.711801661969978,0.234769963332585,2.86476381084934,2,18
2.17359466456662,0.222260919538598,1.78024591646853,2.61989708041996,2,18
2.28561329965831,0.251860103490158,1.79479801795857,2.82082016882596,2,18
1.56182513005376,0.251126940174863,1.03476688980667,2.0157244229363,2,18
1.60935979796856,0.255831979180936,1.11707698968512,2.13863338147625,2,18
1.65602686192669,0.2489986445184,1.17497710946197,2.11321349327406,2,18
1.81656627088664,0.21208204994316,1.40108314623387,2.27067067838587,2,18
1.91983027937359,0.238502866012827,1.47949753421373,2.40628315345067,2,18
1.89273234688092,0.244024571179874,1.44418651417606,2.37896321120402,2,18
2.0131237395739,0.266496885655251,1.56003424477883,2.5197046602327,2,18
1.8344868215373,0.256361038433338,1.37694506640492,2.33895379660076,2,18
2.25446612530204,0.200512818715004,1.88418831037139,2.62448093253101,2,18
2.0910317813907,0.416576251697109,1.0939523841308,2.83980113470324,2,18
1.7396036381209,0.196869363505157,1.34612357184483,2.14727721267661,2,18
1.66214080630496,0.251068580118929,1.14721047143663,2.150971745495,2,18
1.56518056044678,0.34904396070728,0.846764982149229,2.21853229217609,2,18
1.84128776811088,0.299462079942734,1.30828469829722,2.43541556950544,2,18
1.94383894302244,0.431660065616011,0.932639281144974,2.59743045594219,2,18
2.33965564252555,0.223108191928429,1.87769682347639,2.77680176315855,2,18
