"estimate","se","ci_lower","ci_upper","true_beta","scenario"
1.6556953967198,0.284267259187294,1.09157627248029,2.21981452095932,2,9
1.707525367057,0.278030846529482,1.1557822007698,2.2592685333442,2,9
2.03909357808282,0.268143466368499,1.50697159593544,2.5712155602302,2,9
2.1256893322346,0.252233947931096,1.62513927164315,2.62623939282605,2,9
1.5881738352015,0.280505107398694,1.03152057874538,2.14482709165761,2,9
2.43776897591834,0.265204161597883,1.91147994842714,2.96405800340955,2,9
2.16539165327579,0.275277719627602,1.61911197772351,2.71167132882808,2,9
1.90995057363875,0.306535571964604,1.30164070742585,2.51826043985164,2,9
1.68629643258497,0.312083194475356,1.06697749004958,2.30561537512036,2,9
1.69024538344366,0.307966478395064,1.07909592998907,2.30139483689825,2,9
1.39821523757964,0.262818523568683,0.876660431115617,1.91977004404366,2,9
2.33651998488945,0.30857801731394,1.72415695235319,2.94888301742572,2,9
2.43989805514335,0.27813483151912,1.88794853402846,2.99184757625824,2,9
2.21219065030475,0.302726749611391,1.61143926809181,2.81294203251769,2,9
1.84512689960069,0.307891095871785,1.23412704031018,2.4561267588912,2,9
1.96244465785242,0.285356606529217,1.3961637592662,2.52872555643863,2,9
2.52868753696732,0.28062597601134,1.97179442068314,3.0855806532515,2,9
2.19789135788127,0.293906803472227,1.61464287173201,2.78113984403052,2,9
1.82151219282632,0.279646909649992,1.26656200187204,2.3764623837806,2,9
2.24134396635441,0.288998567031893,1.66783571568003,2.81485221702879,2,9
1.88336885181578,0.285126023619971,1.31754553750853,2.44919216612303,2,9
1.51832580644089,0.298229461247495,0.92649914661964,2.11015246626214,2,9
1.90992802657971,0.289922622908636,1.33458601709179,2.48527003606764,2,9
2.26009685675573,0.311806855707439,1.64132629951169,2.87886741399976,2,9
1.65870340748477,0.275174671945829,1.11262822670323,2.20477858826632,2,9
1.58539041190938,0.256635643900653,1.07610532892171,2.09467549489705,2,9
2.22271118610483,0.304689047643844,1.61806568731044,2.82735668489923,2,9
1.83393582576647,0.267483088259613,1.30312434248385,2.36474730904909,2,9
2.20948819150924,0.291137240330363,1.63173581327822,2.78724056974026,2,9
2.07845699783333,0.32402898799255,1.4354320168448,2.72148197882187,2,9
1.90050448811579,0.300001580580378,1.30516111515292,2.49584786107865,2,9
2.16453343522294,0.273036334513518,1.62270171548257,2.70636515496331,2,9
1.78351376868287,0.291773030725082,1.20449968510564,2.3625278522601,2,9
1.70817002014753,0.260207928460645,1.19179585471231,2.22454418558276,2,9
1.76820001723026,0.298502931420217,1.17583066475146,2.36056936970906,2,9
1.50270140577573,0.299509875074384,0.90833380638671,2.09706900516474,2,9
1.74086109438595,0.281594152432848,1.18204666350306,2.29967552526884,2,9
1.64164893327769,0.292199841194933,1.0617878582138,2.22151000834158,2,9
2.31286207329367,0.303059460555932,1.71145043703953,2.91427370954781,2,9
2.02372446988474,0.297501029548845,1.43334335906229,2.61410558070719,2,9
1.66173718610645,0.261652118988022,1.14249707157154,2.18097730064136,2,9
1.99968198718338,0.260909600862022,1.48191537570389,2.51744859866286,2,9
2.18602230006953,0.299305720426347,1.59205983893523,2.77998476120383,2,9
2.01820925735365,0.280347694674267,1.46186838132608,2.57455013338121,2,9
2.05531171627179,0.279850701923666,1.49995710618292,2.61066632636066,2,9
2.1325426554995,0.32119394841958,1.49514371827577,2.76994159272323,2,9
